Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Elgi Rubber Company Limited,ELGIRUBCO,Elgi Rubber Company Limited,Active,,,,,,,,,
Ponni Sugars (Erode) Limited,PONNIERODE,Ponni Sugars (Erode) Limited,Active,,,,,,,,,
Alphageo (India) Limited,ALPHAGEO,Alphageo (India) Limited,Active,,,,,,,,,
Par Drugs And Chemicals Limited,PAR,Par Drugs And Chemicals Limited,Active,,,,,,,,,
Mazda Limited,MAZDA,Mazda Limited,Active,,,,,,,,,
GSS Infotech Limited,GSS,GSS Infotech Limited,Active,,,,,,,,,
Iris Business Services Limited,IRIS,Iris Business Services Limited,Active,,,,,,,,,
VIP Clothing Limited,VIPCLOTHNG,VIP Clothing Limited,Active,,,,,,,,,
Ruchi Infrastructure Limited,RUCHINFRA,Ruchi Infrastructure Limited,Active,,,,,,,,,
Walchandnagar Industries Limited,WALCHANNAG,Walchandnagar Industries Limited,Active,,,,,,,,,
Pashupati Cotspin Limited,PASHUPATI,Pashupati Cotspin Limited,Active,,,,,,,,,
Capital Trust Limited,CAPTRUST,Capital Trust Limited,Active,,,,,,,,,
Alankit Limited,ALANKIT,Alankit Limited,Active,,,,,,,,,
SPL Industries Limited,SPLIL,SPL Industries Limited,Active,,,,,,,,,
Paramount Communications Limited,PARACABLES,Paramount Communications Limited,Active,,,,,,,,,
Intense Technologies Limited,INTENTECH,Intense Technologies Limited,Active,,,,,,,,,
Reliance Home Finance Limited,RHFL,Reliance Home Finance Limited,Active,,,,,,,,,
GRP Limited,GRPLTD,GRP Limited,Active,,,,,,,,,
Setco Automotive Limited,SETCO,Setco Automotive Limited,Active,,,,,,,,,
TPL Plastech Limited,TPLPLASTEH,TPL Plastech Limited,Active,,,,,,,,,
Industrial Investment Trust Limited,IITL,Industrial Investment Trust Limited,Active,,,,,,,,,
Maan Aluminium Limited,MAANALU,Maan Aluminium Limited,Active,,,,,,,,,
Kernex Microsystems (India) Limited,KERNEX,Kernex Microsystems (India) Limited,Active,,,,,,,,,
Eimco Elecon (India) Limited,EIMCOELECO,Eimco Elecon (India) Limited,Active,,,,,,,,,
Brooks Laboratories Limited,BROOKS,Brooks Laboratories Limited,Active,,,,,,,,,
Superhouse Limited,SUPERHOUSE,Superhouse Limited,Active,,,,,,,,,
Visa Steel Limited,VISASTEEL,Visa Steel Limited,Active,,,,,,,,,
Aries Agro Limited,ARIES,Aries Agro Limited,Active,,,,,,,,,
Sundaram Multi Pap Limited,SUNDARAM,Sundaram Multi Pap Limited,Active,,,,,,,,,
AJR INFRA AND TOLLING LIMITED,AJRINFRA,AJR INFRA AND TOLLING LIMITED,Active,,,,,,,,,
Compucom Software Limited,COMPUSOFT,Compucom Software Limited,Active,,,,,,,,,
Kirloskar Electric Company Limited,KECL,Kirloskar Electric Company Limited,Active,,,,,,,,,
Veto Switchgears And Cables Limited,VETO,Veto Switchgears And Cables Limited,Active,,,,,,,,,
E2E Networks Limited,E2E,E2E Networks Limited,Active,,,,,,,,,
GTL Limited,GTL,GTL Limited,Active,,,,,,,,,
Modi Rubber Limited,MODIRUBBER,Modi Rubber Limited,Active,,,,,,,,,
Kakatiya Cement Sugar & Industries Limited,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Active,,,,,,,,,
Jocil Limited,JOCIL,Jocil Limited,Active,,,,,,,,,
Aarvi Encon Limited,AARVI,Aarvi Encon Limited,Active,,,,,,,,,
Manaksia Coated Metals & Industries Limited,MANAKCOAT,Manaksia Coated Metals & Industries Limited,Active,,,,,,,,,
Indian Caselected Clothing Company Limited,INDIANCAselected,Indian Caselected Clothing Company Limited,Active,,,,,,,,,
Lasa Supergenerics Limited,LASA,Lasa Supergenerics Limited,Active,,,,,,,,,
A2Z Infra Engineering Limited,A2ZINFRA,A2Z Infra Engineering Limited,Active,,,,,,,,,
The United Nilgiri Tea Estates Company Limited,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,Active,,,,,,,,,
Pavna Industries Limited,PAVNAIND,Pavna Industries Limited,Active,,,,,,,,,
Servotech Power Systems Limited,SERVOTECH,Servotech Power Systems Limited,Active,,,,,,,,,
DEEP ENERGY RESOURCES LIMITED,DEEPENR,DEEP ENERGY RESOURCES LIMITED,Active,,,,,,,,,
Hindusthan National Glass & Industries Limited,HINDNATGLS,Hindusthan National Glass & Industries Limited,Active,,,,,,,,,
IL&FS Transportation Networks Limited,IL&FSTRANS,IL&FS Transportation Networks Limited,Active,,,,,,,,,
Shreyans Industries Limited,SHREYANIND,Shreyans Industries Limited,Active,,,,,,,,,
Kamat Hotels (I) Limited,KAMATHOTEL,Kamat Hotels (I) Limited,Active,,,,,,,,,
Nitco Limited,NITCO,Nitco Limited,Active,,,,,,,,,
Golden Tobacco Limited,GOLDENTOBC,Golden Tobacco Limited,Active,,,,,,,,,
North Eastern Carrying Corporation Limited,NECCLTD,North Eastern Carrying Corporation Limited,Active,,,,,,,,,
Aksh Optifibre Limited,AKSHOPTFBR,Aksh Optifibre Limited,Active,,,,,,,,,
Suvidhaa Infoserve Limited,SUVIDHAA,Suvidhaa Infoserve Limited,Active,,,,,,,,,
Mangalam Drugs And Organics Limited,MANGALAM,Mangalam Drugs And Organics Limited,Active,,,,,,,,,
Worth Peripherals Limited,WORTH,Worth Peripherals Limited,Active,,,,,,,,,
SKM Egg Products Export (India) Limited,SKMEGGPROD,SKM Egg Products Export (India) Limited,Active,,,,,,,,,
Rane Engine Valve Limited,RANEENGINE,Rane Engine Valve Limited,Active,,,,,,,,,
Bal Pharma Limited,BALPHARMA,Bal Pharma Limited,Active,,,,,,,,,
Sakthi Sugars Limited,SAKHTISUG,Sakthi Sugars Limited,Active,,,,,,,,,
Premier Polyfilm Limited,PREMIERPOL,Premier Polyfilm Limited,Active,,,,,,,,,
Atlanta  Limited,ATLANTA,Atlanta  Limited,Active,,,,,,,,,
